row,kmeans_cluster,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,tract_minority_population_percent,clarans_cluster
33706,3,194.0,105000,345000.0,29.412,<20%,White,Home_Purchase,Principal_Residence,Originated,12.57,1
22213,3,51.0,295000,445000.0,67.303,43%-<50%,White,CashOut_Refinance,Principal_Residence,Originated,17.35,6
97756,0,51.0,105000,105000.0,95.0,36%-<43%,Black or African American,Home_Purchase,Principal_Residence,Originated,77.54,5
21404,0,82.0,305000,375000.0,80.0,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,20.2,1
18838,5,225.0,125000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,24.07,4
99410,3,86.0,105000,585000.0,17.241,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,44.98,5
70262,5,162.0,55000,325000.0,73.52,<20%,White,Other,Principal_Residence,Originated,43.29,4
5564,5,112.0,25000,315000.0,54.415,36%-<43%,White,Other,Principal_Residence,Approved_NotAccepted,28.51,4
46074,6,49.0,25000,175000.0,78.812,50%-60%,White,Other,Principal_Residence,Denied,13.73,0
59084,1,621.0,895000,5005000.0,17.82,36%-<43%,White,Refinance,Second_Residence,Originated,10.94,6
37885,3,104.0,165000,375000.0,78.353,Unknown,White,Refinance,Principal_Residence,Incomplete,51.5,6
97320,6,82.0,505000,625000.0,80.0,>60%,White,Other,Principal_Residence,Originated,22.17,0
95813,3,231.0,255000,2125000.0,12.0,Unknown,Race Not Available,Home_Improvement,Principal_Residence,Originated,44.55,5
415,6,56.0,175000,185000.0,96.5,50%-60%,Black or African American,Home_Purchase,Principal_Residence,Originated,58.42,0
14797,2,71.0,75000,205000.0,35.0,>60%,Black or African American,Refinance,Investment,Denied,96.32,3
68146,5,132.0,105000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Withdrawn,65.99,4
68189,3,68.0,395000,375000.0,78.353,Unknown,Asian,CashOut_Refinance,Principal_Residence,Withdrawn,94.41,6
77846,1,459.0,825000,1325000.0,62.264,30%-<36%,White,Home_Purchase,Second_Residence,Originated,10.71,1
72280,6,102.0,305000,505000.0,60.0,50%-60%,Race Not Available,Home_Purchase,Principal_Residence,Originated,16.35,0
68179,3,111.0,225000,365000.0,61.8,43%-<50%,White,CashOut_Refinance,Principal_Residence,Originated,20.07,6
64238,4,73.0,155000,165000.0,78.353,43%-<50%,White,Home_Purchase,Principal_Residence,Denied,21.77,2
3770,3,67.0,185000,305000.0,60.2,36%-<43%,White,Refinance,Principal_Residence,Originated,17.12,6
11396,3,173.0,165000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Incomplete,24.04,6
26618,0,55.0,155000,165000.0,95.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,7.2,1
85255,5,90.0,155000,315000.0,79.665,30%-<36%,Race Not Available,Home_Improvement,Principal_Residence,Originated,93.47,4
26714,1,514.0,415000,605000.0,68.333,<20%,White,Other,Principal_Residence,Originated,40.95,5
90470,2,95.0,275000,375000.0,78.353,Unknown,Race Not Available,Home_Purchase,Investment,Withdrawn,18.36,3
96284,3,89.0,315000,445000.0,71.236,43%-<50%,White,Refinance,Principal_Residence,Originated,14.69,6
27940,5,232.0,105000,735000.0,21.71,<20%,White,Home_Purchase,Principal_Residence,Originated,35.86,4
19083,4,97.0,145000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Incomplete,16.4,2
45475,6,62.0,55000,215000.0,25.0,50%-60%,White,Refinance,Principal_Residence,Denied,82.57,0
